yyyy-mm,departure_port,departure_lon,departure_lat,arrival_port,arrival_lon,arrival_lat,route,nonimal_fare_(AUD),real_fare_(AUD)
2023-Jun,Brisbane,-27.4698,153.0251,Perth,115.8605,-31.9505,Brisbane - Perth,727,740
2023-Jun,Brisbane,-27.4698,153.0251,Sydney,151.2093,-33.8688,Brisbane - Sydney,178,181
2023-Jun,Canberra,-35.2809,149.13,Melbourne,144.9631,-37.8136,Canberra - Melbourne,177,180
2023-Jun,Canberra,-35.2809,149.13,Sydney,151.2093,-33.8688,Canberra - Sydney,418,426
2023-Jun,Darwin,-12.4634,130.8456,Melbourne,144.9631,-37.8136,Darwin - Melbourne,705,718
2023-Jun,Darwin,-12.4634,130.8456,Perth,115.8605,-31.9505,Darwin - Perth,925,942
2023-Jun,Darwin,-12.4634,130.8456,Sydney,151.2093,-33.8688,Darwin - Sydney,612,623
2023-Jun,Gold Coast,-28.0167,153.4,Sydney,151.2093,-33.8688,Gold Coast - Sydney,118,120
2023-Jun,Hobart,-42.8821,147.3272,Melbourne,144.9631,-37.8136,Hobart - Melbourne,187,190
2023-Jun,Hobart,-42.8821,147.3272,Sydney,151.2093,-33.8688,Hobart - Sydney,204,208
2023-Jun,Melbourne,-37.8136,144.9631,Perth,115.8605,-31.9505,Melbourne - Perth,538,548
2023-Jun,Melbourne,-37.8136,144.9631,Sydney,151.2093,-33.8688,Melbourne - Sydney,160,163
2023-Jun,Perth,-31.9505,115.8605,Sydney,151.2093,-33.8688,Perth - Sydney,598,609
2023-Jul,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,607,611
2023-Jul,Adelaide,-34.9285,138.6007,Brisbane,153.0251,-27.4698,Adelaide - Brisbane,378,380
2023-Jul,Adelaide,-34.9285,138.6007,Canberra,149.13,-35.2809,Adelaide - Canberra,605,609
2023-Jul,Adelaide,-34.9285,138.6007,Darwin,130.8456,-12.4634,Adelaide - Darwin,863,868
2023-Jul,Adelaide,-34.9285,138.6007,Melbourne,144.9631,-37.8136,Adelaide - Melbourne,214,215
2023-Jul,Adelaide,-34.9285,138.6007,Perth,115.8605,-31.9505,Adelaide - Perth,403,405
2023-Jul,Adelaide,-34.9285,138.6007,Sydney,151.2093,-33.8688,Adelaide - Sydney,218,219
2023-Jul,Brisbane,-27.4698,153.0251,Canberra,149.13,-35.2809,Brisbane - Canberra,350,352
2023-Jul,Brisbane,-27.4698,153.0251,Darwin,130.8456,-12.4634,Brisbane - Darwin,830,835
2023-Jul,Brisbane,-27.4698,153.0251,Hobart,147.3272,-42.8821,Brisbane - Hobart,412,414
2023-Jul,Brisbane,-27.4698,153.0251,Melbourne,144.9631,-37.8136,Brisbane - Melbourne,218,219
2023-Jul,Brisbane,-27.4698,153.0251,Perth,115.8605,-31.9505,Brisbane - Perth,626,630
2023-Jul,Brisbane,-27.4698,153.0251,Sydney,151.2093,-33.8688,Brisbane - Sydney,150,151
2023-Jul,Canberra,-35.2809,149.13,Melbourne,144.9631,-37.8136,Canberra - Melbourne,166,167
2023-Jul,Canberra,-35.2809,149.13,Sydney,151.2093,-33.8688,Canberra - Sydney,419,422
2023-Jul,Darwin,-12.4634,130.8456,Melbourne,144.9631,-37.8136,Darwin - Melbourne,691,695
2023-Jul,Darwin,-12.4634,130.8456,Perth,115.8605,-31.9505,Darwin - Perth,1269,1277
2023-Jul,Darwin,-12.4634,130.8456,Sydney,151.2093,-33.8688,Darwin - Sydney,602,606
2023-Jul,Gold Coast,-28.0167,153.4,Sydney,151.2093,-33.8688,Gold Coast - Sydney,123,124
2023-Jul,Hobart,-42.8821,147.3272,Melbourne,144.9631,-37.8136,Hobart - Melbourne,154,155
2023-Jul,Hobart,-42.8821,147.3272,Sydney,151.2093,-33.8688,Hobart - Sydney,180,181
2023-Jul,Melbourne,-37.8136,144.9631,Perth,115.8605,-31.9505,Melbourne - Perth,484,487
2023-Jul,Melbourne,-37.8136,144.9631,Sydney,151.2093,-33.8688,Melbourne - Sydney,148,149
2023-Jul,Perth,-31.9505,115.8605,Sydney,151.2093,-33.8688,Perth - Sydney,477,480
2023-Jan,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,650,667
