yyyy-mm,departure_port,departure_lon,departure_lat,arrival_port,arrival_lon,arrival_lat,route,nonimal_fare_(AUD),real_fare_(AUD),normalized_nominal_fare,normalized_real_fare
2023-Oct,Adelaide,-34.9285,138.6007,Perth,115.8605,-31.9505,Adelaide - Perth,381,385,0.22805851063829788,0.20936116382036685
2023-Oct,Adelaide,-34.9285,138.6007,Sydney,151.2093,-33.8688,Adelaide - Sydney,298,301,0.17287234042553193,0.1562302340290955
2023-Oct,Brisbane,-27.4698,153.0251,Canberra,149.13,-35.2809,Brisbane - Canberra,350,353,0.2074468085106383,0.18912080961416824
2023-Oct,Brisbane,-27.4698,153.0251,Darwin,130.8456,-12.4634,Brisbane - Darwin,636,642,0.3976063829787234,0.3719165085388994
2023-Oct,Brisbane,-27.4698,153.0251,Hobart,147.3272,-42.8821,Brisbane - Hobart,422,426,0.2553191489361702,0.23529411764705882
2023-Oct,Brisbane,-27.4698,153.0251,Melbourne,144.9631,-37.8136,Brisbane - Melbourne,260,263,0.14760638297872342,0.13219481340923467
2023-Oct,Brisbane,-27.4698,153.0251,Perth,115.8605,-31.9505,Brisbane - Perth,600,606,0.37367021276595747,0.349146110056926
2023-Oct,Brisbane,-27.4698,153.0251,Sydney,151.2093,-33.8688,Brisbane - Sydney,183,185,0.09640957446808511,0.08285895003162555
2023-Oct,Canberra,-35.2809,149.13,Melbourne,144.9631,-37.8136,Canberra - Melbourne,204,206,0.11037234042553191,0.0961416824794434
2023-Oct,Canberra,-35.2809,149.13,Sydney,151.2093,-33.8688,Canberra - Sydney,437,441,0.26529255319148937,0.24478178368121442
2023-Oct,Darwin,-12.4634,130.8456,Melbourne,144.9631,-37.8136,Darwin - Melbourne,660,666,0.41356382978723405,0.3870967741935484
2023-Oct,Darwin,-12.4634,130.8456,Perth,115.8605,-31.9505,Darwin - Perth,714,721,0.449468085106383,0.42188488298545224
2023-Oct,Darwin,-12.4634,130.8456,Sydney,151.2093,-33.8688,Darwin - Sydney,476,481,0.2912234042553192,0.2700822264389627
2023-Oct,Gold Coast,-28.0167,153.4,Sydney,151.2093,-33.8688,Gold Coast - Sydney,141,142,0.06848404255319149,0.055660974067046176
2023-Oct,Hobart,-42.8821,147.3272,Melbourne,144.9631,-37.8136,Hobart - Melbourne,236,238,0.13164893617021275,0.116382036685642
2023-Oct,Hobart,-42.8821,147.3272,Sydney,151.2093,-33.8688,Hobart - Sydney,224,226,0.12367021276595745,0.10879190385831752
2023-Oct,Melbourne,-37.8136,144.9631,Perth,115.8605,-31.9505,Melbourne - Perth,540,545,0.3337765957446808,0.3105629348513599
2023-Oct,Melbourne,-37.8136,144.9631,Sydney,151.2093,-33.8688,Melbourne - Sydney,129,130,0.06050531914893617,0.0480708412397217
2023-Oct,Perth,-31.9505,115.8605,Sydney,151.2093,-33.8688,Perth - Sydney,681,688,0.4275265957446808,0.4010120177103099
2023-Nov,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,703,710,0.4421542553191489,0.41492726122707146
2023-Nov,Adelaide,-34.9285,138.6007,Brisbane,153.0251,-27.4698,Adelaide - Brisbane,318,321,0.18617021276595744,0.16888045540796964
2023-Nov,Adelaide,-34.9285,138.6007,Canberra,149.13,-35.2809,Adelaide - Canberra,522,527,0.32180851063829785,0.2991777356103732
